img_id,title,img_name
1,с этого момента мемы про кыргызов разрешены,medvedev_115726804_orig_.jpg
1,нужно работать 3 суботы и хорошего настроения,medvedev_115726804_orig_.jpg
1,нет я не собираюсь приветствовать главу ку-клукс-клана,medvedev_115726804_orig_.jpg
1,водка закончилась но вы держитесь,medvedev_115726804_orig_.jpg
1,"отдыха нет а так счастья вам, здоровья",medvedev_115726804_orig_.jpg
1,денег нет настя держись,medvedev_115726804_orig_.jpg
1,это ж я дима ))) ,medvedev_115726804_orig_.jpg
1,это ж я димон ))) ,medvedev_115726804_orig_.jpg
1,"да будет вам обнова, будет но нужно подождать",medvedev_115726804_orig_.jpg
1,и ниодного совпадения ну вы там держитесь,medvedev_115726804_orig_.jpg
1,"мы бюджетные места сократим вы держитесь там, всего доброго, хорошего настроения и здоровья",medvedev_115726804_orig_.jpg
1,"после бг жиналып шай ищуге болад,никто не будет беспокоит",medvedev_115726804_orig_.jpg
1,пизда я трахал бобра,medvedev_115726804_orig_.jpg
1,нига идите нахуй я расист,medvedev_115726804_orig_.jpg
1,дархан райт идите нахуй,medvedev_115726804_orig_.jpg
1,хорошего вам настроения но денег нет и не будет!!!,medvedev_115726804_orig_.jpg
3,когда у тебя вип 7 или выше ,695_113395783_orig_.jpg
3,после вписки у фоксы,695_113395783_orig_.jpg
3,смотришь в кашелёк а там нету денег на вкусняшки!,695_113395783_orig_.jpg
3,когда ты не кыргыз ,695_113395783_orig_.jpg
3,когда на карте 2.5 ляма а кушаешь 1 раз в день,695_113395783_orig_.jpg
3,когда получил зарплату,695_113395783_orig_.jpg
3,когда настя хочет пить а ты ей,695_113395783_orig_.jpg
3,когда леша попросил страпон у алины,695_113395783_orig_.jpg
3,моя любимая зарплата,695_113395783_orig_.jpg
3,когда друзья позвали побухать ,695_113395783_orig_.jpg
3,кошилёк бати спилберг после того как она купила пиар,695_113395783_orig_.jpg
3,"африканский футболист в российской лиге не зная русского объясняет тренеру, почему он не забивает",695_113395783_orig_.jpg
5,я говорю сделай так !!!!! нефига!!!!(-мама-),a_106977909_orig_.jpg
5,когда сардар не хотел взять на 4 ранг!!,a_106977909_orig_.jpg
5,Ғосподи я чья мама,a_106977909_orig_.jpg
5,когда валя читает текст и мочлит,a_106977909_orig_.jpg
